23 augusti	Signe, Signhild
24 augusti	Bartolomeus
25 augusti	Lovisa, Louise
26 augusti	Östen
27 augusti	Rolf, Raoul
28 augusti	Fatima, Leila
29 augusti	Hans, Hampus
30 augusti	Albert, Albertina
31 augusti	Arvid, Vidar
1 september	Sam, Samuel
2 september	Justus, Justina
3 september	Alfhild, Alva
4 september	Gisela
5 september	Adela, Heidi
6 september	Lilian, Lilly
7 september	Kevin, Roy
8 september	Alma, Hulda
9 september	Anita, Annette
10 september	Tord, Turid
11 september	Dagny, Helny
12 september	Åsa, Åslög
13 september	Sture
14 september	Ida
15 september	Sigrid, Siri
16 september	Dag, Daga
17 september	Hildegard, Magnhild
18 september	Orvar
19 september	Fredrika
20 september	Elise, Lisa
21 september	Matteus
22 september	Maurits, Moritz
23 september	Tekla, Tea
24 september	Gerhard, Gert
25 september	Tryggve
26 september	Enar, Einar
27 september	Dagmar, Rigmor
28 september	Lennart, Leonard
29 september	Mikael, Mikaela
30 september	Helge
1 oktober	Ragnar, Ragna
2 oktober	Ludvig, Love
3 oktober	Evald, Osvald
4 oktober	Frans, Frank
5 oktober	Bror
6 oktober	Jenny, Jennifer
7 oktober	Birgitta, Britta
8 oktober	Nils
9 oktober	Ingrid, Inger
10 oktober	Harry, Harriet
11 oktober	Erling, Jarl
12 oktober	Valfrid, Manfred
13 oktober	Berit, Birgit
14 oktober	Stellan
15 oktober	Hedvig, Hillevi
16 oktober	Finn
17 oktober	Antonia, Toini
18 oktober	Lukas
19 oktober	Tore, Tor
20 oktober	Sibylla
21 oktober	Ursula, Yrsa
22 oktober	Marika, Marita
23 oktober	Severin, Sören
24 oktober	Evert, Eilert
25 oktober	Inga, Ingalill
26 oktober	Amanda, Rasmus
27 oktober	Sabina
28 oktober	Simon, Simone
29 oktober	Viola
30 oktober	Elsa, Isabella
31 oktober	Edit, Edgar
1 november	(ingen namnsdag)Allhelgonadagen
2 november	Tobias
3 november	Hubert, Hugo
4 november	Sverker
5 november	Eugen, Eugenia
6 november	Gustav Adolf
7 november	Ingegerd, Ingela
8 november	Vendela
9 november	Teodor, Teodora
10 november	Martin, Martina
11 november	Mårten
12 november	Konrad, Kurt
13 november	Kristian, Krister
14 november	Emil, Emilia
15 november	Leopold
16 november	Vibeke, Viveka
17 november	Naemi, Naima
18 november	Lillemor, Moa
19 november	Elisabet, Lisbet
20 november	Pontus, Marina
21 november	Helga, Olga
22 november	Cecilia, Sissela
23 november	Klemens
24 november	Gudrun, Rune
25 november	Katarina, Katja
26 november	Linus
27 november	Astrid, Asta
28 november	Malte
29 november	Sune
30 november	Andreas, Anders
1 december	Oskar, Ossian
2 december	Beata, Beatrice
3 december	Lydia
4 december	Barbara, Barbro
5 december	Sven
6 december	Nikolaus, Niklas
7 december	Angela, Angelika
8 december	Virginia
9 december	Anna
10 december	Malin, Malena
11 december	Daniel, Daniela
12 december	Alexander, Alexis
13 december	Lucia
14 december	Sten, Sixten
15 december	Gottfrid
16 december	Assar
17 december	Stig
18 december	Abraham
19 december	Isak
20 december	Israel, Moses
21 december	Tomas
22 december	Natanael, Jonatan
23 december	Adam
24 december	Eva, (Julafton)
25 december	(ingen namnsdag)Juldagen
26 december	Stefan, Staffan, (Annandag jul)
27 december	Johannes, Johan
28 december	Benjamin, (Värnlösa barns dag)
29 december	Natalia, Natalie
30 december	Abel, Set
31 december	Sylvester
